1,Tokyo,35.6895,139.6917
2,Sydney,-33.8688,151.2093
3,Paris,48.8566,2.3522
4,Cairo,30.0444,31.2357
5,Moscow,55.7558,37.6173
6,Toronto,43.6510,-79.3470
7,Cape Town,-33.9249,18.4241
8,Mumbai,19.0760,72.8777
9,Buenos Aires,-34.6037,-58.3816
10,Berlin,52.5200,13.4050
11,London,51.5074,-0.1278
12,Los Angeles,34.0522,-118.2437
13,Seoul,37.5665,126.9780
14,Beijing,39.9042,116.4074
15,Rome,41.9028,12.4964
16,New Delhi,28.6139,77.2090
17,Mexico City,19.4326,-99.1332
18,Jakarta,-6.2088,106.8456
19,Bangkok,13.7563,100.5018
20,New York,40.7128,-74.0060
